"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Swag Labs UI Tests","Checkout Functionality","Checkout with Empty First Name","0","1","0","0","0"
"Swag Labs UI Tests","Checkout Functionality","Checkout with Empty Postal Code","0","1","0","0","0"
"Swag Labs UI Tests","Login Functionality","Invalid Login - Only Password Entered","0","1","0","0","0"
"Swag Labs UI Tests","Login Functionality","Invalid Login - Only Username Entered","0","1","0","0","0"
"Swag Labs UI Tests","Cart Functionality","Add and Remove Item","0","1","0","0","0"
"Swag Labs UI Tests","Login Functionality","Invalid Login - Wrong Password","0","1","0","0","0"
"Swag Labs UI Tests","Login Functionality","Invalid Login - Wrong Username","0","1","0","0","0"
"Swag Labs UI Tests","Checkout Functionality","Cancel Checkout","0","1","0","0","0"
"Swag Labs UI Tests","Cart Functionality","Remove Item Without Navigating to Cart","0","1","0","0","0"
"Swag Labs UI Tests","Checkout Functionality","Valid Checkout","0","1","0","0","0"
"Swag Labs UI Tests","Checkout Functionality","Checkout with Special Characters in Name","0","1","0","0","0"
"Swag Labs UI Tests","Checkout Functionality","Checkout with Empty Last Name","0","1","0","0","0"
"Swag Labs UI Tests","Login Functionality","Invalid Login - Empty Credentials","0","1","0","0","0"
"Swag Labs UI Tests","Login Functionality","Valid Login","0","1","0","0","0"
"Swag Labs UI Tests","Cart Functionality","Add Item to Cart Only","0","1","0","0","0"
"Swag Labs UI Tests","Checkout Functionality","Checkout Without Items","0","1","0","0","0"
